"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
633,"October Submarine","A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat",2006,1,6,"4.99",54,"10.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'boat':20 'boy':11 'confront':14 'epistl':5 'husband':16 'jet':19 'monkey':8 'must':13 'octob':1 'submarin':2 'taut':4"
634,"Odds Boogie","A Thrilling Yarn of a Feminist And a Madman who must Battle a Hunter in Berlin",2006,1,6,"0.99",48,"14.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'battl':14 'berlin':18 'boogi':2 'feminist':8 'hunter':16 'madman':11 'must':13 'odd':1 'thrill':4 'yarn':5"
639,"Opposite Necklace","A Fateful Epistle of a Crocodile And a Moose who must Kill a Explorer in Nigeria",2006,1,7,"4.99",92,"9.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'crocodil':8 'epistl':5 'explor':16 'fate':4 'kill':14 'moos':11 'must':13 'necklac':2 'nigeria':18 'opposit':1"
642,"Order Betrayed","A Amazing Saga of a Dog And a A Shark who must Challenge a Cat in The Sahara Desert",2006,1,7,"2.99",120,"13.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'amaz':4 'betray':2 'cat':17 'challeng':15 'desert':21 'dog':8 'must':14 'order':1 'saga':5 'sahara':20 'shark':12"
646,"Outbreak Divine","A Unbelieveable Yarn of a Database Administrator And a Woman who must Succumb a A Shark in A U-Boat",2006,1,6,"0.99",169,"12.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'administr':9 'boat':23 'databas':8 'divin':2 'must':14 'outbreak':1 'shark':18 'succumb':15 'u':22 'u-boat':21 'unbeliev':4 'woman':12 'yarn':5"
660,"Party Knock","A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft",2006,1,7,"2.99",107,"11.99","PG","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':21 'battl':15 'butler':12 'display':5 'fate':4 'knock':2 'mine':22 'must':14 'parti':1 'shaft':23 'sumo':17 'technic':8 'wrestler':18 'writer':9"
664,"Patriot Roman","A Taut Saga of a Robot And a Database Administrator who must Challenge a Astronaut in California",2006,1,6,"2.99",65,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'administr':12 'astronaut':17 'california':19 'challeng':15 'databas':11 'must':14 'patriot':1 'robot':8 'roman':2 'saga':5 'taut':4"
685,"Platoon Instinct","A Thrilling Panorama of a Man And a Woman who must Reach a Woman in Australia",2006,1,6,"4.99",132,"10.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'australia':18 'instinct':2 'man':8 'must':13 'panorama':5 'platoon':1 'reach':14 'thrill':4 'woman':11,16"
688,"Polish Brooklyn","A Boring Character Study of a Database Administrator And a Lumberjack who must Reach a Madman in The Outback",2006,1,6,"0.99",61,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'administr':10 'bore':4 'brooklyn':2 'charact':5 'databas':9 'lumberjack':13 'madman':18 'must':15 'outback':21 'polish':1 'reach':16 'studi':6"
695,"President Bang","A Fateful Panorama of a Technical Writer And a Moose who must Battle a Robot in Soviet Georgia",2006,1,6,"4.99",144,"12.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'bang':2 'battl':15 'fate':4 'georgia':20 'moos':12 'must':14 'panorama':5 'presid':1 'robot':17 'soviet':19 'technic':8 'writer':9"
719,"Records Zorro","A Amazing Drama of a Mad Scientist And a Composer who must Build a Husband in The Outback",2006,1,7,"4.99",182,"11.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'amaz':4 'build':15 'compos':12 'drama':5 'husband':17 'mad':8 'must':14 'outback':20 'record':1 'scientist':9 'zorro':2"
727,"Resurrection Silverado","A Epic Yarn of a Robot And a Explorer who must Challenge a Girl in A MySQL Convention",2006,1,6,"0.99",117,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'challeng':14 'convent':20 'epic':4 'explor':11 'girl':16 'must':13 'mysql':19 'resurrect':1 'robot':8 'silverado':2 'yarn':5"
756,"Saddle Antitrust","A Stunning Epistle of a Feminist And a A Shark who must Battle a Woman in An Abandoned Fun House",2006,1,7,"2.99",80,"10.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':20 'antitrust':2 'battl':15 'epistl':5 'feminist':8 'fun':21 'hous':22 'must':14 'saddl':1 'shark':12 'stun':4 'woman':17"
767,"Scalawag Duck","A Fateful Reflection of a Car And a Teacher who must Confront a Waitress in A Monastery",2006,1,6,"4.99",183,"13.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'car':8 'confront':14 'duck':2 'fate':4 'monasteri':19 'must':13 'reflect':5 'scalawag':1 'teacher':11 'waitress':16"
776,"Secret Groundhog","A Astounding Story of a Cat And a Database Administrator who must Build a Technical Writer in New Orleans",2006,1,6,"4.99",90,"11.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'administr':12 'astound':4 'build':15 'cat':8 'databas':11 'groundhog':2 'must':14 'new':20 'orlean':21 'secret':1 'stori':5 'technic':17 'writer':18"
786,"Shepherd Midsummer","A Thoughtful Drama of a Robot And a Womanizer who must Kill a Lumberjack in A Baloon",2006,1,7,"0.99",113,"14.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'baloon':19 'drama':5 'kill':14 'lumberjack':16 'midsumm':2 'must':13 'robot':8 'shepherd':1 'thought':4 'woman':11"
793,"Shrunk Divine","A Fateful Character Study of a Waitress And a Technical Writer who must Battle a Hunter in A Baloon",2006,1,6,"2.99",139,"14.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'baloon':21 'battl':16 'charact':5 'divin':2 'fate':4 'hunter':18 'must':15 'shrunk':1 'studi':6 'technic':12 'waitress':9 'writer':13"
804,"Sleeping Suspects","A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention",2006,1,7,"4.99",129,"13.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'convent':21 'explor':12 'frisbe':17 'must':14 'mysql':20 'reflect':5 'sink':15 'sleep':1 'stun':4 'sumo':8 'suspect':2 'wrestler':9"
812,"Smoking Barbarella","A Lacklusture Saga of a Mad Cow And a Mad Scientist who must Sink a Cat in A MySQL Convention",2006,1,7,"0.99",50,"13.99","PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'barbarella':2 'cat':18 'convent':22 'cow':9 'lacklustur':4 'mad':8,12 'must':15 'mysql':21 'saga':5 'scientist':13 'sink':16 'smoke':1"
822,"Soup Wisdom","A Fast-Paced Display of a Robot And a Butler who must Defeat a Butler in A MySQL Convention",2006,1,6,"0.99",169,"12.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'butler':13,18 'convent':22 'defeat':16 'display':7 'fast':5 'fast-pac':4 'must':15 'mysql':21 'pace':6 'robot':10 'soup':1 'wisdom':2"
828,"Spiking Element","A Lacklusture Epistle of a Dentist And a Technical Writer who must Find a Dog in A Monastery",2006,1,7,"2.99",79,"12.99","G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'dentist':8 'dog':17 'element':2 'epistl':5 'find':15 'lacklustur':4 'monasteri':20 'must':14 'spike':1 'technic':11 'writer':12"
829,"Spinal Rocky","A Lacklusture Epistle of a Sumo Wrestler And a Squirrel who must Defeat a Explorer in California",2006,1,7,"2.99",138,"12.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'california':19 'defeat':15 'epistl':5 'explor':17 'lacklustur':4 'must':14 'rocki':2 'spinal':1 'squirrel':12 'sumo':8 'wrestler':9"
835,"Spy Mile","A Thrilling Documentary of a Feminist And a Feminist who must Confront a Feminist in A Baloon",2006,1,6,"2.99",112,"13.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'baloon':19 'confront':14 'documentari':5 'feminist':8,11,16 'mile':2 'must':13 'spi':1 'thrill':4"
845,"Stepmom Dream","A Touching Epistle of a Crocodile And a Teacher who must Build a Forensic Psychologist in A MySQL Convention",2006,1,7,"4.99",48,"9.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'build':14 'convent':21 'crocodil':8 'dream':2 'epistl':5 'forens':16 'must':13 'mysql':20 'psychologist':17 'stepmom':1 'teacher':11 'touch':4"
847,"Stock Glass","A Boring Epistle of a Crocodile And a Lumberjack who must Outgun a Moose in Ancient China",2006,1,7,"2.99",160,"10.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'ancient':18 'bore':4 'china':19 'crocodil':8 'epistl':5 'glass':2 'lumberjack':11 'moos':16 'must':13 'outgun':14 'stock':1"
874,"Tadpole Park","A Beautiful Tale of a Frisbee And a Moose who must Vanquish a Dog in An Abandoned Amusement Park",2006,1,6,"2.99",155,"13.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':19 'amus':20 'beauti':4 'dog':16 'frisbe':8 'moos':11 'must':13 'park':2,21 'tadpol':1 'tale':5 'vanquish':14"
875,"Talented Homicide","A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat",2006,1,6,"0.99",173,"9.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':22 'dentist':8 'forens':11 'homicid':2 'lacklustur':4 'must':14 'outrac':15 'panorama':5 'pioneer':17 'psychologist':12 'talent':1 'u':21 'u-boat':20"
880,"Telemark Heartbreakers","A Action-Packed Panorama of a Technical Writer And a Man who must Build a Forensic Psychologist in A Manhattan Penthouse",2006,1,6,"2.99",152,"9.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'build':17 'forens':19 'heartbreak':2 'man':14 'manhattan':23 'must':16 'pack':6 'panorama':7 'penthous':24 'psychologist':20 'technic':10 'telemark':1 'writer':11"
899,"Towers Hurricane","A Fateful Display of a Monkey And a Car who must Sink a Husband in A MySQL Convention",2006,1,7,"0.99",144,"14.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'car':11 'convent':20 'display':5 'fate':4 'hurrican':2 'husband':16 'monkey':8 'must':13 'mysql':19 'sink':14 'tower':1"
905,"Trainspotting Strangers","A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan",2006,1,7,"4.99",132,"10.99","PG-13","2013-05-26 14:50:58.951","{Trailers}","'ancient':21 'challeng':17 'cow':14 'drama':7 'fast':5 'fast-pac':4 'japan':22 'mad':13 'madman':19 'must':16 'pace':6 'pioneer':10 'stranger':2 'trainspot':1"
911,"Trip Newton","A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park",2006,1,7,"4.99",64,"14.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'abandon':20 'amus':21 'car':12 'cat':17 'charact':5 'discov':15 'fanci':4 'lumberjack':9 'must':14 'newton':2 'park':22 'studi':6 'trip':1"
914,"Trouble Date","A Lacklusture Panorama of a Forensic Psychologist And a Woman who must Kill a Explorer in Ancient Japan",2006,1,6,"2.99",61,"13.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'date':2 'explor':17 'forens':8 'japan':20 'kill':15 'lacklustur':4 'must':14 'panorama':5 'psychologist':9 'troubl':1 'woman':12"
915,"Truman Crazy","A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery",2006,1,7,"4.99",92,"9.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'administr':17 'boy':11 'crazi':2 'databas':16 'epistl':5 'meet':14 'monasteri':20 'moos':8 'must':13 'thrill':4 'truman':1"
923,"Unfaithful Kill","A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans",2006,1,7,"2.99",78,"12.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'battl':15 'documentari':5 'kill':2 'mad':11 'must':14 'new':20 'orlean':21 'scientist':12 'taut':4 'technic':17 'unfaith':1 'waitress':8 'writer':18"
931,"Valentine Vanishing","A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California",2006,1,7,"0.99",48,"9.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'butler':11 'california':19 'chef':17 'display':5 'husband':8 'must':13 'pastri':16 'reach':14 'thrill':4 'valentin':1 'vanish':2"
937,"Varsity Trip","A Action-Packed Character Study of a Astronaut And a Explorer who must Reach a Monkey in A MySQL Convention",2006,1,7,"2.99",85,"14.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'action':5 'action-pack':4 'astronaut':11 'charact':7 'convent':23 'explor':14 'monkey':19 'must':16 'mysql':22 'pack':6 'reach':17 'studi':8 'trip':2 'varsiti':1"
950,"Volume House","A Boring Tale of a Dog And a Woman who must Meet a Dentist in California",2006,1,7,"4.99",132,"12.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'bore':4 'california':18 'dentist':16 'dog':8 'hous':2 'meet':14 'must':13 'tale':5 'volum':1 'woman':11"
959,"Warlock Werewolf","A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback",2006,1,6,"2.99",83,"10.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'astound':4 'crocodil':11 'defeat':14 'must':13 'outback':20 'pioneer':8 'shark':17 'warlock':1 'werewolf':2 'yarn':5"
970,"Westward Seabiscuit","A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China",2006,1,7,"0.99",52,"11.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'ancient':18 'boy':16 'butler':8 'china':19 'face':14 'husband':11 'lacklustur':4 'must':13 'seabiscuit':2 'tale':5 'westward':1"
976,"Wind Phantom","A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft",2006,1,6,"0.99",111,"12.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'abandon':21 'build':15 'forens':11 'madman':8 'mine':22 'must':14 'phantom':2 'psychologist':12 'saga':5 'shaft':23 'sumo':17 'touch':4 'wind':1 'wrestler':18"
979,"Witches Panic","A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria",2006,1,6,"4.99",100,"10.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'agent':11 'awe':5 'awe-inspir':4 'drama':7 'fight':17 'hunter':14 'inspir':6 'moos':19 'must':16 'nigeria':21 'panic':2 'secret':10 'witch':1"
981,"Wolves Desire","A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse",2006,1,7,"0.99",55,"13.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'desir':2 'drama':7 'fast':5 'fast-pac':4 'manhattan':22 'must':15 'pace':6 'penthous':23 'robot':13 'squirrel':10 'succumb':16 'technic':18 'wolv':1 'writer':19"
993,"Wrong Behavior","A Emotional Saga of a Crocodile And a Sumo Wrestler who must Discover a Mad Cow in New Orleans",2006,1,6,"2.99",178,"10.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'behavior':2 'cow':18 'crocodil':8 'discov':15 'emot':4 'mad':17 'must':14 'new':20 'orlean':21 'saga':5 'sumo':11 'wrestler':12 'wrong':1"
996,"Young Language","A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station",2006,1,6,"0.99",183,"9.99","G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'administr':12 'boat':8 'boy':17 'databas':11 'first':20 'languag':2 'man':21 'meet':15 'must':14 'space':22 'station':23 'unbeliev':4 'yarn':5 'young':1"
998,"Zhivago Core","A Fateful Yarn of a Composer And a Man who must Face a Boy in The Canadian Rockies",2006,1,6,"0.99",105,"10.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'boy':16 'canadian':19 'compos':8 'core':2 'face':14 'fate':4 'man':11 'must':13 'rocki':20 'yarn':5 'zhivago':1"
